sample,time_s,zone_index,zone_tolerance_mm,reference_x_mm,reference_y_mm,initial_x_mm,initial_y_mm,no_alignment_x_mm,no_alignment_y_mm,v11_x_mm,v11_y_mm,initial_contour_error_mm,no_alignment_contour_error_mm,v11_contour_error_mm
82,3.0749999999999997,3,0.28,1.1247656249999949,-2.2132741668550753,-3.6774101443913882,8.097829904179317,-4.1542390223160455,9.50261856036882,-5.139037629077486,10.348002857807606,0.4937930914301303,0.7184982223106031,0.234503419158286
83,3.1125,3,0.28,1.6867089843749952,-3.273476236099823,-3.11322117190613,7.592011453518262,-3.9573190858538108,8.841205544801111,-4.85661922084846,9.624880832877041,0.959946946608361,0.8133977237708487,0.396414962685105
84,3.15,3,0.28,2.2481249999999946,-4.279544408488871,-2.5484766530983687,6.981716415418057,-3.759947493999297,8.031626807391083,-4.564282282245527,8.746041893865847,1.4666810688054586,0.9412288474475208,0.6010245053781027
85,3.1875,3,0.28,2.808837890625,-5.21601698376983,-1.9834694127562351,6.271151940089514,-3.5574204473266255,7.081850006120672,-4.260447766255335,7.720777814816251,2.021003514221923,1.115554077196931,0.8577723249920526
86,3.225,-1,nan,3.368671874999997,-6.069521263909719,-1.4184782823606903,5.467264040931565,-3.344946794769462,6.003584564620594,-3.9435649820785588,6.562323118358686,2.629251404978834,1.350395978426441,1.176148584650199
87,3.2624999999999997,-1,nan,3.927451171874992,-6.829146070237716,-0.853765016100974,4.579622407684096,-3.1176590679808043,4.8117548100288685,-3.6120786237780713,5.287245024437255,3.2947755409640505,1.6588132728750509,1.5641378434246533
88,3.3,4,0.36,4.484999999999992,-7.486724094584715,-0.2895737402962855,3.6202065128303884,-2.8706260489960425,3.524041491537412,-3.264414242449504,3.914935520036654,4.013221459051593,2.049659218883896,2.0248538069000865
89,3.3375,4,0.36,5.0411425781250045,-8.037015076567013,0.27386945964243803,2.6030968852547627,-2.598865679034972,2.16042920480972,-2.898973033126566,2.467130044264371,4.7641695061482014,2.5210949159126343,2.5500944748959817
90,3.375,4,0.36,5.595703125,-8.477784962662597,0.8363571560505368,1.5440841350039896,-2.297357176116183,0.7427312021034648,-2.5141306858362182,0.9674156499346914,5.499453715912248,3.0499469637231824,3.1102928756079153
91,3.4125,4,0.36,6.148505859374993,-8.809780489434978,1.3977012341706212,0.4602116032136683,-1.9610510674958905,-0.7059171550889809,-2.1082377895806044,-0.5592852221338653,6.134503118421705,3.579914009380733,3.644485668024208
92,3.4499999999999997,4,0.36,6.699374999999996,-9.03660284146164,1.9577333950684084,-0.6307303966574007,-1.5848760364531946,-2.161592865144593,-1.6796207307176165,-2.087254866457954,6.558965405951824,4.020472569483978,4.062368434654898
